split,image,image_path,group,width,height,resized_width,resized_height,x1,y1,x2,y2,w_px_640,h_px_640,area_px_640,short_px_640,size_bin,nearest_bat_px_640,bat_relation,edge_distance_px_640,blur_score,w_cell_p4,h_cell_p4,short_cell_p4,w_cell_p8,h_cell_p8,short_cell_p8,w_cell_p16,h_cell_p16,short_cell_p16,flag_full_none,full_flag_full_none,score_full_none,full_score_full_none,flag_r1_gray,full_flag_r1_gray,score_r1_gray,full_score_r1_gray,flag_r1_mean,full_flag_r1_mean,score_r1_mean,full_score_r1_mean,flag_r2_gray,full_flag_r2_gray,score_r2_gray,full_score_r2_gray,flag_r2_mean,full_flag_r2_mean,score_r2_mean,full_score_r2_mean,flag_r4_gray,full_flag_r4_gray,score_r4_gray,full_score_r4_gray,flag_r4_mean,full_flag_r4_mean,score_r4_mean,full_score_r4_mean,flag_r8_gray,full_flag_r8_gray,score_r8_gray,full_score_r8_gray,flag_r8_mean,full_flag_r8_mean,score_r8_mean,full_score_r8_mean
valid,000000005614_jpg.rf.962054456b085c76be3e71cb0709b487.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/valid/images/000000005614_jpg.rf.962054456b085c76be3e71cb0709b487.jpg,000000005614,640.0,426.0,640,426,332.5,282.0,345.5,296.0,13.0,14.000000000000002,182.00000000000003,13.0,8-16,179.33279120116322,far,130.0,2447.52685546875,3.25,3.5000000000000004,3.25,1.625,1.7500000000000002,1.625,0.8125,0.8750000000000001,0.8125,1,1,0.33467453718185425,0.33467453718185425,0,1,0.0,0.33467453718185425,1,1,0.2639193832874298,0.33467453718185425,0,1,0.0,0.33467453718185425,0,1,0.0,0.33467453718185425,0,1,0.0,0.33467453718185425,1,1,0.3613772392272949,0.33467453718185425,0,1,0.0,0.33467453718185425,1,1,0.37153249979019165,0.33467453718185425
valid,000000010817_jpg.rf.3e587d78199227f867545e6449865171.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/valid/images/000000010817_jpg.rf.3e587d78199227f867545e6449865171.jpg,000000010817,640.0,480.0,640,480,181.5,222.0,192.5,234.0,11.0,12.0,132.0,11.0,8-16,79.0,far,181.5,574.274169921875,2.75,3.0,2.75,1.375,1.5,1.375,0.6875,0.75,0.6875,1,1,0.7307120561599731,0.7307120561599731,0,1,0.0,0.7307120561599731,0,1,0.0,0.7307120561599731,0,1,0.0,0.7307120561599731,0,1,0.0,0.7307120561599731,1,1,0.7271968722343445,0.7307120561599731,1,1,0.7359654903411865,0.7307120561599731,1,1,0.7495562434196472,0.7307120561599731,1,1,0.7405813336372375,0.7307120561599731
valid,000000011107_jpg.rf.7beef039d304e3fd830d017e51fadeb0.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/valid/images/000000011107_jpg.rf.7beef039d304e3fd830d017e51fadeb0.jpg,000000011107,640.0,500.0,640,500,387.5,329.5,398.5,342.5,11.0,13.0,143.0,11.0,8-16,142.89594115999236,far,157.5,2317.9541015625,2.75,3.25,2.75,1.375,1.625,1.375,0.6875,0.8125,0.6875,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
valid,000000018290_jpg.rf.ff1332156f1b398e0e1433dc6b488b62.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/valid/images/000000018290_jpg.rf.ff1332156f1b398e0e1433dc6b488b62.jpg,000000018290,640.0,379.0,640,379,337.0,224.0,351.0,242.0,14.0,18.0,252.0,14.0,8-16,0.0,overlap,137.0,418.0708312988281,3.5,4.5,3.5,1.75,2.25,1.75,0.875,1.125,0.875,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
valid,000000019472_jpg.rf.2e9feb6d7d82e562809ef261252ecb35.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/valid/images/000000019472_jpg.rf.2e9feb6d7d82e562809ef261252ecb35.jpg,000000019472,504.0,640.0,504,640,303.0,280.0,333.0,302.0,30.0,22.0,660.0,22.0,16-32,0.0,overlap,171.0,226.61306762695312,7.5,5.5,5.5,3.75,2.75,2.75,1.875,1.375,1.375,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
valid,000000035552_jpg.rf.34efd91d8606b813efb2a4e085b8adf5.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/valid/images/000000035552_jpg.rf.34efd91d8606b813efb2a4e085b8adf5.jpg,000000035552,640.0,427.0,640,427,441.0,277.5,465.0,302.5,24.0,25.0,600.0,24.0,16-32,41.0,far,124.5,1863.9810791015625,6.0,6.25,6.0,3.0,3.125,3.0,1.5,1.5625,1.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
valid,000000036816_jpg.rf.d13161e5dd3c7f06dc6a1a43ab2648c2.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/valid/images/000000036816_jpg.rf.d13161e5dd3c7f06dc6a1a43ab2648c2.jpg,000000036816,640.0,427.0,640,427,324.5,165.5,337.5,176.5,13.0,11.0,143.0,11.0,8-16,66.5,far,165.5,4185.857421875,3.25,2.75,2.75,1.625,1.375,1.375,0.8125,0.6875,0.6875,0,0,0.0,0.0,1,0,0.3614458739757538,0.0,1,0,0.42001867294311523,0.0,1,0,0.5764071941375732,0.0,1,0,0.6508608460426331,0.0,1,0,0.3955480754375458,0.0,1,0,0.48746761679649353,0.0,1,0,0.44771358370780945,0.0,1,0,0.3049820065498352,0.0
valid,000000043657_jpg.rf.7599b0b431a00676dbf55b722f944971.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/valid/images/000000043657_jpg.rf.7599b0b431a00676dbf55b722f944971.jpg,000000043657,640.0,480.0,640,480,274.0,289.0,286.0,301.0,12.0,12.0,144.0,12.0,8-16,105.05355776935876,far,179.0,1108.5599365234375,3.0,3.0,3.0,1.5,1.5,1.5,0.75,0.75,0.75,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0.46528446674346924,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0.4241492748260498,0.0,0,0,0.0,0.0,0,0,0.0,0.0
valid,000000044795_jpg.rf.9b7d851b319565dd5310d369b58a8862.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/valid/images/000000044795_jpg.rf.9b7d851b319565dd5310d369b58a8862.jpg,000000044795,640.0,426.0,640,426,497.5,205.0,514.5,223.0,17.0,18.0,306.0,17.0,16-32,70.5,far,125.5,150.4868927001953,4.25,4.5,4.25,2.125,2.25,2.125,1.0625,1.125,1.0625,1,1,0.7979443669319153,0.7979443669319153,1,1,0.5190684795379639,0.7979443669319153,1,1,0.8533877730369568,0.7979443669319153,0,1,0.0,0.7979443669319153,0,1,0.0,0.7979443669319153,1,1,0.6797606348991394,0.7979443669319153,1,1,0.7686310410499573,0.7979443669319153,1,1,0.7524933815002441,0.7979443669319153,1,1,0.7602015733718872,0.7979443669319153
valid,000000046981_jpg.rf.9601be643c7c200394c6c76bd83b94df.jpg,/home/hplab/uxin/yolo11/pose_dataset/bbt5.v1i.yolov8/valid/images/000000046981_jpg.rf.9601be643c7c200394c6c76bd83b94df.jpg,000000046981,640.0,480.0,640,480,114.5,192.0,131.5,212.0,17.0,20.0,340.0,17.0,16-32,0.0,overlap,114.5,1976.0091552734375,4.25,5.0,4.25,2.125,2.5,2.125,1.0625,1.25,1.0625,1,1,0.27608782052993774,0.27608782052993774,0,1,0.0,0.27608782052993774,1,1,0.7913994193077087,0.27608782052993774,0,1,0.0,0.27608782052993774,0,1,0.0,0.27608782052993774,0,1,0.0,0.27608782052993774,0,1,0.0,0.27608782052993774,0,1,0.0,0.27608782052993774,1,1,0.4063718020915985,0.27608782052993774
